Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
0fca0e34,0.07782393680502,0,0.32877049190393,0.072600885039512,0,0.022779328457982,0.01631203267663,0,0,0,0,0.015090006460893,0,0.14499781527321,0.065628384518765,0.087266035302804,0.0023878616635377,0.0083230063222745,0,0.11007239211918,0,0.047947823456255,0,0.5703012851160859,0.8209434855653324
10d037c2,0.13627053722359,0,0.14829038196132,0.027006625789954,0,0.022052169016124,0,0.037438597810449,0.012256982382824,0,0,0.021476489511389,0,0.16820309567725,0.020508103488449,0.22141706543377,0.10408162896213,0.021542103725278,0.036110063275104,0,0,0.02334615574236,0,0.500723673463931,0.8653107465555075
10d6ec12,0.26213686125191,0,0.24078717881206,0.065595057072049,0,0.10482323991324,0,0.011663137662831,0.021584332523595,0.0005,0,0.017909645118463,0,0.064986343151843,0.086305416497313,0.057798941852766,0.059402012127488,0,0,0.0059075165384854,0,0.0006,0,0.628728393076157,0.7784124314223522
10e453a6,0.11307012053955,0,0.091503823119589,0.12276332306668,0,0.19996330824621,0.0080405758336086,0.060968862763866,0.019143623072093,0,0,0.02995671019635,0,0.073048158360013,0.04023682572003,0.061666010250116,0.085939233777081,0.032358906264641,0.053045191723135,0,0,0.0082953270670435,0,0.45642078693716504,0.8898078218094992
112c839c,0.14659999521196,0,0.537599814739,0.10010913172031,0,0,0.0096300846053193,0.033183095452419,0,0,0,0.0085481270024016,0,0.032935377614435,0.0035456244067288,0.031495160097679,0.018959379335746,0.0007,0.053422525559505,0,0,0.023302012699438,0,0.7037704822208433,0.7135433372622355
1142583c,0.2309756448709,0,0.20765123141903,0.21552416337017,0,0.008426674761437,0.041663824926019,0.049855907934424,0.052551926732538,0,0,0.044270497530633,0,0.04628001840322,0.012799827094066,0.036091064125401,0,0.0019093135449154,0,0.020534617716409,0,0.03146528757083,0,0.622793378367627,0.7845618348990676
12b16f45,0.033109764118064,0,0.069104858473616,0.2545593200392,0,0.089255113661584,0.052235574736735,0.022378544701671,0,0,0,0.066490414868511,0.0048190291374245,0.052665308293151,0.088333172954662,0.13071202719637,0.081393767608,0.0038558198446975,0.032094042493405,0,0,0.018993241872903,0.01,0.3331229907528518,0.9454007521789656
12d1e7fb,0.09096214393874,0,0.11006542597395,0.01765987012575,0,0.081047594124766,0,0,0.0051893823390207,0,0,0.023436456899544,0,0.079228886727228,0.020718425609232,0.21367875279362,0.034989382529361,0,0.3115476961473,0,0,0.011475982791482,0,0.3750617378488906,0.9286758152015763
12d2b9fa,0.2552555222411,0,0.24625773133566,0.017752754574595,0,0.081214339321787,0,0.0043183445984836,0.032892181058295,0,0,0.023426744173128,0,0.19223679871188,0.040238803540355,0.090642304813026,0,0,0.011986663085392,0,0,0.0037778125462966,0,0.7110850108376542,0.7138916533823318
12e07df9,0.062852449535597,0,0.1203686702952,0.030374858231668,0,0.16408815132554,0.0092651449544271,0,0,0.0016949556700082,0,0.034442112463836,0.0064652017283671,0.075691803139274,0.030395627959989,0.23482133165717,0.063602403691164,0,0.11005908616863,0,0.0046296493940433,0.051248553785087,0,0.3838597839378988,0.9222545615574551
